laser wavelength:1550nm,set power:1.0dBm,grid dimension:31
left,328.782273,-4467.988079,-23.5411186
left,328.784206,-4467.4866,-23.7261543
left,328.782736,-4466.986586999999,-23.9596138
left,328.783249,-4466.486625,-24.2487717
left,328.783453,-4465.986247,-24.5950546
left,328.783971,-4465.486651,-24.9845467
left,328.78409999999997,-4464.984923,-25.3203278
left,328.782622,-4464.486739,-25.8147926
left,328.782305,-4463.988256,-26.3699722
left,328.783188,-4463.487617,-26.9788437
left,328.784929,-4462.985594,-27.6472893
left,329.282901,-4477.989748,-24.8719101
left,329.283796,-4477.487355,-24.5472794
left,329.285396,-4476.986392,-24.2544403
left,329.283324,-4476.486876999999,-23.9858322
left,329.283614,-4475.986874,-23.7396088
left,329.283249,-4475.4865549999995,-23.5091438
left,329.28315499999997,-4474.987547,-23.325676
left,329.283189,-4474.488778,-23.1321869
left,329.282176,-4473.985576,-22.9578819
left,329.283096,-4473.487519,-22.8085823
left,329.28236699999997,-4472.985197,-22.6770821
left,329.283757,-4472.488222,-22.5742264
left,329.28575,-4471.989015,-22.4960976
left,329.283419,-4471.486018,-22.4200821
left,329.282489,-4470.985662,-22.3806839
left,329.282024,-4470.487765,-22.3683815
left,329.283058,-4469.9886,-22.3858566
left,329.283532,-4469.4866839999995,-22.4325905
left,329.28423799999996,-4468.987419,-22.5175095
left,329.280733,-4468.4861949999995,-22.629982
left,329.283489,-4467.988348,-22.7515373
left,329.282822,-4467.487475,-22.948494
left,329.282652,-4466.986663,-23.2021484
left,329.284604,-4466.487286,-23.505764
left,329.284046,-4465.986143,-23.8488503
left,329.284118,-4465.4858269999995,-24.2441864
left,329.283038,-4464.987292,-24.6349487
left,329.284405,-4464.485694999999,-25.1489296
left,329.283645,-4463.987039,-25.7012253
left,329.284456,-4463.487578,-26.3078423
left,329.284233,-4462.986996,-26.9765663
left,329.782173,-4477.987273,-24.0507088
left,329.783512,-4477.486585,-23.7122536
left,329.784026,-4476.987841,-23.4281883
left,329.782846,-4476.486981,-23.1605835
left,329.78234299999997,-4475.987357999999,-22.9089546
left,329.78189,-4475.48723,-22.6972008
left,329.783618,-4474.986816,-22.4833679
left,329.781347,-4474.483848,-22.293911
left,329.78556299999997,-4473.986874,-22.1257019
left,329.78311099999996,-4473.485454,-21.9793587
left,329.781944,-4472.98714,-21.8500786
left,329.782045,-4472.488321,-21.745533
left,329.781225,-4471.986038999999,-21.6606407
left,329.783484,-4471.487086,-21.610527
left,329.784268,-4470.987276,-21.5782661
left,329.782853,-4470.486841,-21.5622597
left,329.78220899999997,-4469.987881,-21.5826569
left,329.78126499999996,-4469.485927,-21.6327629
left,329.783226,-4468.9887229999995,-21.714241
left,329.782822,-4468.486545,-21.8317223
left,329.782195,-4467.986521,-21.9990959
left,329.783636,-4467.486111,-22.2036819
left,329.784208,-4466.9865979999995,-22.4541473
left,329.782385,-4466.486449999999,-22.7542076
left,329.78352,-4465.987158,-23.1013756
left,329.783219,-4465.486086,-23.4882164
left,329.782601,-4464.987639,-23.9634285
left,329.78423599999996,-4464.486836,-24.4656525
left,329.783769,-4463.986807,-25.0139503
left,329.783394,-4463.486887,-25.6104965
left,329.781269,-4462.986936,-26.262619
left,330.285028,-4477.987693,-23.3292847
left,330.28344,-4477.487351,-22.9990692
left,330.284995,-4476.99064,-22.7064209
left,330.28404,-4476.48664,-22.4282722
left,330.282588,-4475.988283,-22.1700821
left,330.283141,-4475.486078,-21.9337769
left,330.28366,-4474.987725999999,-21.7279243
left,330.283029,-4474.4881,-21.5294304
left,330.284669,-4473.987629,-21.359787
left,330.283274,-4473.486842,-21.2088852
left,330.283118,-4472.988641999999,-21.0725212
left,330.283205,-4472.487005999999,-20.9634933
left,330.281495,-4471.986592,-20.8693657
left,330.283656,-4471.486035,-20.8452072
left,330.283725,-4470.98707,-20.8081207
left,330.284246,-4470.485842,-20.792263
left,330.28317899999996,-4469.985829,-20.8036804
left,330.283916,-4469.486438,-20.8481331
left,330.28069899999997,-4468.9876779999995,-20.9220848
left,330.281968,-4468.487736,-21.0294075
left,330.281117,-4467.989769,-21.2415237
left,330.283124,-4467.487129,-21.436348
left,330.28315499999997,-4466.987744,-21.6783333
left,330.284593,-4466.487062,-21.9618759
left,330.28482399999996,-4465.98632,-22.2958221
left,330.28486799999996,-4465.487623,-22.6832504
left,330.28385499999996,-4464.987569,-23.207016
left,330.281664,-4464.487553999999,-23.6923523
left,330.285398,-4463.986057,-24.2202873
left,330.284295,-4463.486992,-24.8048477
left,330.280225,-4462.987449,-25.4524765
left,330.781767,-4477.990216,-22.7123222
left,330.781597,-4477.486486,-22.3697357
left,330.783006,-4476.984735999999,-22.0553894
left,330.782353,-4476.487379,-21.7669334
left,330.784131,-4475.987516,-21.4955101
left,330.784739,-4475.489286,-21.2689857
left,330.781931,-4474.984187,-21.0433006
left,330.784547,-4474.486339,-20.8369026
left,330.783679,-4473.987021,-20.6563606
left,330.78425,-4473.4858779999995,-20.4931526
left,330.782359,-4472.9855769999995,-20.3466682
left,330.781955,-4472.488366,-20.2252007
left,330.78443599999997,-4471.987316,-20.1338539
left,330.784162,-4471.486987,-20.1125374
left,330.782177,-4470.987838999999,-20.0675163
left,330.78198,-4470.485659999999,-20.0491257
left,330.78371799999996,-4469.986618,-20.0628967
left,330.78374099999996,-4469.487579,-20.1065712
left,330.782779,-4468.987528,-20.181839
left,330.782733,-4468.49004,-20.3587799
left,330.78218799999996,-4467.9875329999995,-20.5089951
left,330.783818,-4467.485032,-20.7024155
left,330.783678,-4466.9881239999995,-20.9490776
left,330.78567999999996,-4466.485942,-21.235672
left,330.78132899999997,-4465.987561,-21.5806999
left,330.783692,-4465.488071,-21.9831505
left,330.78290599999997,-4464.986447,-22.480442
left,330.78121899999996,-4464.489474,-22.9634132
left,330.782038,-4463.987403,-23.5102844
left,330.782693,-4463.48862,-24.1186447
left,330.78239199999996,-4462.988039,-24.7860222
left,331.282903,-4477.991365,-22.1184502
left,331.282918,-4477.487568,-21.7645111
left,331.282243,-4476.9862539999995,-21.4382095
left,331.285285,-4476.487423,-21.1334305
left,331.28378499999997,-4475.9869069999995,-20.8573685
left,331.28403,-4475.485395,-20.5977707
left,331.281794,-4474.986062,-20.4171829
left,331.284136,-4474.487367,-20.2095032
left,331.282596,-4473.9844539999995,-20.013176
left,331.28403499999996,-4473.485181,-19.8444824
left,331.28400999999997,-4472.987406,-19.7010803
left,331.284131,-4472.487768,-19.586441
left,331.282911,-4471.987664,-19.484745
left,331.282201,-4471.487787,-19.4702034
left,331.283127,-4470.98928,-19.4195328
left,331.28218499999997,-4470.488789999999,-19.4001694
left,331.28051999999997,-4469.988022,-19.4156418
left,331.283302,-4469.485981,-19.4620323
left,331.282213,-4468.988323,-19.5514641
left,331.284024,-4468.487064999999,-19.6715279
left,331.282631,-4467.9877879999995,-19.8620911
left,331.283779,-4467.487701999999,-20.0625572
left,331.28185099999996,-4466.985357,-20.3206673
left,331.282138,-4466.4878309999995,-20.6281433
left,331.283188,-4465.987458,-20.9925919
left,331.28441399999997,-4465.487555,-21.4177895
left,331.28416999999996,-4464.9883629999995,-21.8683281
left,331.284568,-4464.487571,-22.3871307
left,331.285095,-4463.988744,-22.9632645
left,331.283778,-4463.487096,-23.6081505
left,331.283299,-4462.985896,-24.3121338
left,331.78513599999997,-4477.987247999999,-21.5576134
left,331.78368,-4477.487071,-21.1919289
left,331.782779,-4476.988480999999,-20.8517838
left,331.78177,-4476.486089,-20.5462799
left,331.78204999999997,-4475.987048,-20.2624092
left,331.785368,-4475.486455,-20.0784988
left,331.780686,-4474.988228,-19.8441315
left,331.784669,-4474.485285,-19.6251984
left,331.782198,-4473.984424,-19.4384804
left,331.784793,-4473.484526,-19.2624054
left,331.782559,-4472.985618,-19.1297798
left,331.784827,-4472.4851579999995,-19.0061836
left,331.784107,-4471.98635,-18.9183464
left,331.78313499999996,-4471.486323,-18.8914833
left,331.785658,-4470.98694,-18.85215
left,331.783524,-4470.485222,-18.8423309
left,331.784134,-4469.987139,-18.8625641
left,331.782634,-4469.486456,-18.9224052
left,331.781697,-4468.986357,-19.0190392
left,331.782492,-4468.487887,-19.1594162
left,331.783805,-4467.986731999999,-19.333107
left,331.783328,-4467.487978,-19.5484581
left,331.783004,-4466.98739,-19.8241997
left,331.781947,-4466.488612,-20.1538506
left,331.78193899999997,-4465.987486999999,-20.5449791
left,331.78355999999997,-4465.486531,-20.9849854
left,331.785209,-4464.988176,-21.422039
left,331.782925,-4464.486849,-21.9617805
left,331.783951,-4463.986455,-22.5710983
left,331.78074699999996,-4463.486236,-23.247448
left,331.784502,-4462.986377,-23.9853859
left,332.28325,-4477.988421,-21.0625801
left,332.28283899999997,-4477.4859559999995,-20.6864967
left,332.28367299999996,-4476.988065,-20.3467789
left,332.282743,-4476.487837,-20.0446892
left,332.280706,-4475.989415999999,-19.7598686
left,332.28378799999996,-4475.485527,-19.5065651
left,332.283125,-4474.986498,-19.3332405
left,332.28284099999996,-4474.48754,-19.1202087
left,332.28398999999996,-4473.987715,-18.9314842
left,332.284276,-4473.487435,-18.771225
left,332.283306,-4472.987344,-18.6377487
left,332.28488999999996,-4472.48833,-18.5288849
left,332.28244,-4471.985942,-18.4488411
left,332.282989,-4471.489014,-18.4061127
left,332.284409,-4470.988171,-18.3786964
left,332.283366,-4470.487384999999,-18.3744812
left,332.28121999999996,-4469.987279,-18.4041939
left,332.28187199999996,-4469.486443,-18.468235
left,332.281365,-4468.985868,-18.5790443
left,332.285235,-4468.486629999999,-18.7287979
left,332.281808,-4467.9864259999995,-18.9017677
left,332.28367599999996,-4467.487593,-19.1317863
left,332.28268499999996,-4466.986172,-19.4147491
left,332.281272,-4466.485923,-19.7585716
left,332.282709,-4465.985189,-20.1624184
left,332.282807,-4465.487919,-20.6105347
left,332.282264,-4464.9893489999995,-21.0614891
left,332.282358,-4464.490382999999,-21.6221046
left,332.282115,-4463.985465,-22.2441025
left,332.282529,-4463.487803,-22.9270363
left,332.283713,-4462.987432,-23.668869
left,332.781733,-4477.989659,-20.6009178
left,332.780666,-4477.487518,-20.2161598
left,332.78284099999996,-4476.987642,-19.8931007
left,332.78354099999996,-4476.487865,-19.5968094
left,332.781728,-4475.987075999999,-19.3249321
left,332.781975,-4475.487341999999,-19.119915
left,332.78660299999996,-4474.987903,-18.8978424
left,332.78209899999996,-4474.488093999999,-18.689888
left,332.784095,-4473.988374,-18.5176201
left,332.78176099999996,-4473.486647,-18.3680344
left,332.782778,-4472.9862729999995,-18.2406769
left,332.782811,-4472.4870439999995,-18.1405869
left,332.783893,-4471.981213,-18.0681152
left,332.782936,-4471.487356,-18.0246391
left,332.786116,-4470.987846999999,-18.0031166
left,332.783137,-4470.486747,-18.0152588
left,332.783296,-4469.987301,-18.0552177
left,332.783195,-4469.487488,-18.1299477
left,332.784973,-4468.986747,-18.2480659
left,332.782561,-4468.484794999999,-18.3892097
left,332.783616,-4467.985247,-18.5876732
left,332.782565,-4467.488185,-18.834568
left,332.78421099999997,-4466.9884489999995,-19.1360016
left,332.782154,-4466.488781999999,-19.4837952
left,332.784201,-4465.986003,-19.8898048
left,332.781485,-4465.486083,-20.3469276
left,332.78430599999996,-4464.986027,-20.8388367
left,332.781541,-4464.486984,-21.4124298
left,332.782522,-4463.9876939999995,-22.037426
left,332.78207699999996,-4463.487357999999,-22.7221222
left,332.782147,-4462.98705,-23.4550056
left,333.285597,-4477.987665,-20.337738
left,333.281927,-4477.486943,-19.9636459
left,333.28342499999997,-4476.9899319999995,-19.6375732
left,333.283554,-4476.4859129999995,-19.3369865
left,333.28074699999996,-4475.985465,-19.0672493
left,333.283868,-4475.48847,-18.8231888
left,333.285523,-4474.98813,-18.6062584
left,333.283625,-4474.485718,-18.4063721
left,333.28461899999996,-4473.984568,-18.228775
left,333.280556,-4473.489836,-18.0810204
left,333.285289,-4472.988533,-17.9617004
left,333.283283,-4472.48553,-17.8645287
left,333.281325,-4471.9885509999995,-17.7894592
left,333.2818,-4471.487238,-17.741497
left,333.283389,-4470.986817999999,-17.7210007
left,333.28437399999996,-4470.4864959999995,-17.7305145
left,333.284024,-4469.9875059999995,-17.7798157
left,333.28628299999997,-4469.486647,-17.8505325
left,333.283411,-4468.984851,-17.9708023
left,333.282471,-4468.486454,-18.1273689
left,333.28310899999997,-4467.987019,-18.317894
left,333.284512,-4467.488936,-18.570713
left,333.283097,-4466.985768,-18.8618088
left,333.281741,-4466.486906,-19.209198
left,333.283774,-4465.986846,-19.6103363
left,333.282849,-4465.486078,-20.0625153
left,333.28329299999996,-4464.98696,-20.5801773
left,333.282737,-4464.485168,-21.1414223
left,333.283932,-4463.989385,-21.7527008
left,333.28348,-4463.48604,-22.4253464
left,333.284496,-4462.986988,-23.1572189
left,333.785126,-4477.989771,-20.1998177
left,333.781787,-4477.486711,-19.8288765
left,333.78589999999997,-4476.987346,-19.5045891
left,333.783366,-4476.487478999999,-19.1985779
left,333.784163,-4475.986355,-18.9178581
left,333.78342399999997,-4475.486602999999,-18.6524086
left,333.78518299999996,-4474.987467,-18.431076
left,333.78252699999996,-4474.48751,-18.2335777
left,333.784094,-4473.98608,-18.0569954
left,333.7833,-4473.485871,-17.9043083
left,333.784176,-4472.988412,-17.7774277
left,333.784556,-4472.487085,-17.6764908
left,333.782385,-4471.987819,-17.6030464
left,333.784361,-4471.4877289999995,-17.5438499
left,333.782506,-4470.987142,-17.5352669
left,333.78304399999996,-4470.486951,-17.5448608
left,333.78490999999997,-4469.985828,-17.5808334
left,333.78225699999996,-4469.4875999999995,-17.6624641
left,333.782103,-4468.98747,-17.7729797
left,333.782106,-4468.488595,-17.9334145
left,333.784165,-4467.985651999999,-18.1291237
left,333.783462,-4467.486866,-18.3771477
left,333.784947,-4466.987217,-18.6679192
left,333.782195,-4466.486693,-19.006115
left,333.784647,-4465.988042,-19.4088631
left,333.784991,-4465.488237,-19.8598213
left,333.783049,-4464.9870599999995,-20.3742981
left,333.782942,-4464.486578999999,-20.9314079
left,333.78358199999997,-4463.986408,-21.5427246
left,333.784339,-4463.485074,-22.2027283
left,333.78331399999996,-4462.986446,-22.9312744
left,334.283166,-4477.987973,-20.1512604
left,334.283014,-4477.489702,-19.7749062
left,334.28275299999996,-4476.984464,-19.4333763
left,334.283232,-4476.486503,-19.1256866
left,334.283969,-4475.987476,-18.8410187
left,334.284863,-4475.487805,-18.5814095
left,334.283575,-4474.986256,-18.3482018
left,334.28340199999997,-4474.4856709999995,-18.1401176
left,334.284514,-4473.987238,-17.9656219
left,334.284085,-4473.4859719999995,-17.8087654
left,334.282383,-4472.9863159999995,-17.6756744
left,334.283375,-4472.487535,-17.5787125
left,334.28448499999996,-4471.98621,-17.5032692
left,334.284759,-4471.486533,-17.4461861
left,334.28358,-4470.9874,-17.4348106
left,334.28459599999996,-4470.487835,-17.4400406
left,334.28241199999997,-4469.987663,-17.4883232
left,334.280719,-4469.485841,-17.5632706
left,334.284273,-4468.986691,-17.6797142
left,334.281141,-4468.486437,-17.8362846
left,334.283685,-4467.988571,-18.0332108
left,334.283323,-4467.487457,-18.2809448
left,334.283551,-4466.988555,-18.5791855
left,334.285007,-4466.48668,-18.9253998
left,334.281341,-4465.986323,-19.3250771
left,334.284137,-4465.489224999999,-19.7847328
left,334.283545,-4464.987126999999,-20.2785034
left,334.282695,-4464.486351,-20.8341103
left,334.28232099999997,-4463.987443999999,-21.4570961
left,334.28263499999997,-4463.485485,-22.1383362
left,334.28372099999996,-4462.985780999999,-22.8813553
left,334.78423399999997,-4477.988181,-20.1800194
left,334.783353,-4477.487647,-19.7980194
left,334.784522,-4476.9866839999995,-19.4513702
left,334.78583599999996,-4476.486709,-19.132618
left,334.78254799999996,-4475.985170999999,-18.8433418
left,334.78416899999996,-4475.487314999999,-18.590847
left,334.782553,-4474.986559,-18.3596916
left,334.78306399999997,-4474.487744999999,-18.1483841
left,334.782497,-4473.984428,-17.9628067
left,334.783554,-4473.4848409999995,-17.8040047
left,334.78306399999997,-4472.986169,-17.6677437
left,334.78193699999997,-4472.4862029999995,-17.5605278
left,334.78514,-4471.985235,-17.4759293
left,334.784627,-4471.488171,-17.4346809
left,334.78331599999996,-4470.988464,-17.4180412
left,334.782157,-4470.488423,-17.4272842
left,334.783612,-4469.987786,-17.4721146
left,334.782825,-4469.485858,-17.5530777
left,334.78425599999997,-4468.9869579999995,-17.6704407
left,334.783866,-4468.488558,-17.8313751
left,334.78225599999996,-4467.986663,-18.028244
left,334.782065,-4467.487478999999,-18.2732735
left,334.78488899999996,-4466.9858189999995,-18.5764236
left,334.78452699999997,-4466.487347,-18.9341888
left,334.783056,-4465.987406,-19.3456421
left,334.782158,-4465.486216,-19.8189659
left,334.782612,-4464.98635,-20.2968216
left,334.78497999999996,-4464.487199,-20.871666
left,334.78265,-4463.986486,-21.5127754
left,334.782467,-4463.485514,-22.2074242
left,334.78434,-4462.985643999999,-22.9708786
left,335.283817,-4477.989914,-20.2778931
left,335.28225199999997,-4477.486355999999,-19.8864212
left,335.284204,-4476.985683,-19.5306282
left,335.28171,-4476.488246,-19.2033577
left,335.284308,-4475.986781,-18.9085693
left,335.283804,-4475.486567999999,-18.6327744
left,335.28252,-4474.98823,-18.4373741
left,335.281854,-4474.486828,-18.2225418
left,335.28509099999997,-4473.98614,-18.0357857
left,335.282385,-4473.486766,-17.8728409
left,335.28223199999996,-4472.986189,-17.7353058
left,335.28581299999996,-4472.4884759999995,-17.6288071
left,335.284716,-4471.9887929999995,-17.5494804
left,335.28218999999996,-4471.4892629999995,-17.5205688
left,335.284658,-4470.9857,-17.4985046
left,335.28207399999997,-4470.488726,-17.5076714
left,335.283099,-4469.987516,-17.5493813
left,335.282979,-4469.484601,-17.6406326
left,335.283114,-4468.986320999999,-17.761982
left,335.28241299999996,-4468.487034,-17.9347649
left,335.28488899999996,-4467.98498,-18.1356735
left,335.28333299999997,-4467.486973,-18.3867035
left,335.283037,-4466.987819999999,-18.6999741
left,335.284048,-4466.486882,-19.0637932
left,335.281868,-4465.9882259999995,-19.4823456
left,335.28274899999997,-4465.486182,-19.9660835
left,335.282689,-4464.989721,-20.4465179
left,335.284311,-4464.486398999999,-21.0293236
left,335.284043,-4463.985767,-21.6782875
left,335.28270799999996,-4463.488044,-22.3930244
left,335.283258,-4462.9858429999995,-23.1749153
left,335.78605,-4477.986639,-20.4406586
left,335.785602,-4477.486311,-20.0302162
left,335.785029,-4476.989351,-19.6740112
left,335.782108,-4476.486491,-19.3423424
left,335.782763,-4475.987384,-19.0456734
left,335.786816,-4475.486355,-18.8390694
left,335.78175899999997,-4474.987402,-18.5821381
left,335.782129,-4474.487578,-18.368084
left,335.78429,-4473.986817,-18.1831932
left,335.78261799999996,-4473.486908,-18.0297661
left,335.78452999999996,-4472.987792,-17.8929672
left,335.784622,-4472.487251,-17.7938766
left,335.785258,-4471.987282,-17.7402916
left,335.78374299999996,-4471.487121,-17.6899681
left,335.781335,-4470.985469,-17.667717
left,335.784511,-4470.488144,-17.6776276
left,335.784063,-4469.987574,-17.7342911
left,335.783171,-4469.486112,-17.8185272
left,335.783275,-4468.988203,-17.9492149
left,335.784577,-4468.486046,-18.1113815
left,335.779816,-4467.989383,-18.323101
left,335.78374299999996,-4467.488173,-18.5833778
left,335.783009,-4466.987986,-18.9005508
left,335.78398599999997,-4466.487019,-19.2623215
left,335.782014,-4465.9864689999995,-19.6833153
left,335.783249,-4465.486758,-20.1680183
left,335.78313499999996,-4464.986113,-20.6665649
left,335.78128399999997,-4464.4872589999995,-21.2678986
left,335.78371,-4463.9849429999995,-21.921196
left,335.782362,-4463.488005,-22.6260452
left,335.784683,-4462.98687,-23.4100037
left,336.28099299999997,-4477.988245,-20.643959
left,336.282452,-4477.485966,-20.2369995
left,336.28276999999997,-4476.987512,-19.8808289
left,336.282624,-4476.486404,-19.5593376
left,336.280145,-4475.986233,-19.271492
left,336.283331,-4475.485872,-19.0093384
left,336.281677,-4474.986867,-18.8154144
left,336.28256799999997,-4474.486924,-18.6065788
left,336.284162,-4473.9870169999995,-18.4297256
left,336.283904,-4473.487166,-18.2729111
left,336.281764,-4472.987013999999,-18.1508331
left,336.283057,-4472.486715,-18.0584793
left,336.28324799999996,-4471.98588,-17.9906502
left,336.28308799999996,-4471.487429,-17.9524841
left,336.282219,-4470.985215,-17.9514771
left,336.28369599999996,-4470.487145,-17.9675751
left,336.285708,-4469.986333,-18.029705
left,336.28342299999997,-4469.4875329999995,-18.1293449
left,336.282064,-4468.985756,-18.2707825
left,336.283194,-4468.4874039999995,-18.4477654
left,336.282872,-4467.987574,-18.6532173
left,336.283544,-4467.4860419999995,-18.924675
left,336.283977,-4466.988163999999,-19.2512093
left,336.283859,-4466.486797,-19.62677
left,336.283139,-4465.984931,-20.0654221
left,336.28473099999997,-4465.488773,-20.5556297
left,336.283507,-4464.987999,-21.0637703
left,336.282628,-4464.4870009999995,-21.6598511
left,336.28427999999997,-4463.987241,-22.3213501
left,336.28230099999996,-4463.486499,-23.0404892
left,336.28396299999997,-4462.987966,-23.8174553
left,336.78324,-4477.987075999999,-21.0298843
left,336.78209499999997,-4477.488547999999,-20.6228714
left,336.784432,-4476.98409,-20.2783394
left,336.782826,-4476.487657,-19.9536705
left,336.782979,-4475.9871219999995,-19.6685066
left,336.784383,-4475.489578,-19.4142876
left,336.783008,-4474.984406,-19.1807709
left,336.782714,-4474.488605,-18.9752197
left,336.78305,-4473.984533,-18.8044128
left,336.7843,-4473.487872,-18.6513062
left,336.782692,-4472.987406,-18.5374565
left,336.781855,-4472.486161,-18.4514847
left,336.784589,-4471.987271,-18.3832588
left,336.783228,-4471.487789,-18.3366432
left,336.783771,-4470.987073,-18.3346481
left,336.784307,-4470.484733,-18.361145
left,336.781822,-4469.986911,-18.427803
left,336.783834,-4469.487227,-18.5342216
left,336.784219,-4468.987556,-18.6754036
left,336.781336,-4468.486333,-18.824482
left,336.78220999999996,-4467.98819,-19.053154
left,336.785512,-4467.48727,-19.3237877
left,336.78254,-4466.987521999999,-19.655426
left,336.78195,-4466.4869229999995,-20.031353
left,336.782221,-4465.986669,-20.4622231
left,336.784308,-4465.48576,-20.9547348
left,336.783959,-4464.98676,-21.4744415
left,336.782197,-4464.486398,-22.0657463
left,336.781178,-4463.987175,-22.7250595
left,336.786405,-4463.487854999999,-23.4390144
left,336.783481,-4462.986119,-24.2130051
left,337.286278,-4477.985725,-21.5553818
left,337.283217,-4477.487483,-21.1504593
left,337.28418999999997,-4476.986226999999,-20.799881
left,337.281995,-4476.486394,-20.4854507
left,337.28489099999996,-4475.987459,-20.1956558
left,337.281944,-4475.487596,-19.9467316
left,337.283702,-4474.98667,-19.6778755
